component,customer_serial,predicted_jtl_article_number
M471A5244BB0-CRC - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,562DE90F0DC9D7,JTL_ARTNR_DDR4_SODIMM_4GB
M471A5143EB0-CPB - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,58CFB38E9C92A9,JTL_ARTNR_DDR4_SODIMM_4GB
M471A5244CB0-CTD - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,58CFB38E9C92A9,JTL_ARTNR_DDR4_SODIMM_4GB
8ATF51264AZ-2G1A2 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,5A0AB6F1FAA022,JTL_ARTNR_DDR4_DIMM_4GB
ATA SanDisk SD9SN8W-128G-1006-SSD-sata-128GB,5B10377C41AC9C,JTL_ARTNR_M2SATA_SSD_128GB
HMA851S6AFR6N-UH - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,5CBEDED2C78FFE,JTL_ARTNR_DDR4_SODIMM_4GB
SOLIDIGM SSDPFKNU512GZ-SSD-nvme-512GB,6098B8A3934F7B,JTL_ARTNR_NVME_SSD_512GB
ATA SAMSUNG SSD PM871b M.2 2280 128GB-SSD-sata-128GB,735158139869A2,JTL_ARTNR_M2SATA_SSD_128GB
HMA851S6AFR6N-UH - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,7608AEB1418C59,JTL_ARTNR_DDR4_SODIMM_4GB
99U5471-062.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,7B8F0906153768,JTL_ARTNR_DDR3_DIMM_8GB
M471A5143EB0-CPB - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,7FBE3506689FA5,JTL_ARTNR_DDR4_SODIMM_4GB
M471A5244CB0-CTD - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,7FBE3506689FA5,JTL_ARTNR_DDR4_SODIMM_4GB
ATA TOSHIBA THNSNK128GVN8 M.2 2280 128GB-SSD-sata-128GB,7FBE3506689FA5,JTL_ARTNR_M2SATA_SSD_128GB
M471A5244BB0-CRC - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,8ED6851F02C949,JTL_ARTNR_DDR4_SODIMM_4GB
CT1000P3SSD8-SSD-nvme-1000GB,94450C357291C3,JTL_ARTNR_NVME_SSD_1TB
M378A2G43CB3-CWE - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-16GB,983A3F3319CEF9,JTL_ARTNR_DDR4_DIMM_16GB
ATA SanDisk SD8SN8U-128G-1006-SSD-sata-128GB,9F268FC95DCEB2,JTL_ARTNR_M2SATA_SSD_128GB
ATA SAMSUNG MZ7LN256HCHP-000L7-SSD-sata-256GB,A2151725BF5373,JTL_ARTNR_SATA_SSD_256GB
M471A5143EB0-CPB - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,AFA551129809B1,JTL_ARTNR_DDR4_SODIMM_4GB
M471A5244CB0-CTD - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,AFA551129809B1,JTL_ARTNR_DDR4_SODIMM_4GB
HMA851S6AFR6N-UH - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,C462DFF22A2768,JTL_ARTNR_DDR4_SODIMM_4GB
ATA LITEON CV8-8E128-11 SATA 128GB-SSD-sata-128GB,C462DFF22A2768,JTL_ARTNR_M2SATA_SSD_128GB
M471A5143EB0-CPB - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,C4A3DE7FA86A1D,JTL_ARTNR_DDR4_SODIMM_4GB
4ATF51264HZ-2G6E1 - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,C4A3DE7FA86A1D,JTL_ARTNR_DDR4_SODIMM_4GB
HP24D4U7S8MH-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,CAE7646F23FD9E,JTL_ARTNR_DDR4_DIMM_8GB
ATA WDC WD10EURX-63UY4Y0-HDD-ata-1000GB,CE91211BC481F6,JTL_ARTNR_HDD_1TB
ATA CT1000BX500SSD1-SSD-ata-1000GB,CE91211BC481F6,JTL_ARTNR_SSD_SATA_1TB
HL-DT-ST HL-DT-ST DVD-ROM DH50N-HDD-ata-1GB,CE91211BC481F6,"JTL_ARTNR_ODD_5,25"
ATA SAMSUNG MZNLN128HCGR-00000-SSD-sata-128GB,E03599292AEA5A,JTL_ARTNR_M2SATA_SSD_128GB
ATA TOSHIBA THNSNK128GVN8-SSD-sata-128GB,E8A74C238F4567,JTL_ARTNR_M2SATA_SSD_128GB
M471A5143EB0-CPB - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,EA01E7D3959EAC,JTL_ARTNR_DDR4_SODIMM_4GB
ATA LITEON CV8-8E128-11 SATA 128GB-SSD-sata-128GB,F0BD9DC8AC9156,JTL_ARTNR_M2SATA_SSD_128GB
HMA851S6AFR6N-UH - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,F42330363661A6,JTL_ARTNR_DDR4_SODIMM_4GB
ATA SanDisk SD9SN8W-128G-1006-SSD-sata-128GB,F42330363661A6,JTL_ARTNR_M2SATA_SSD_128GB
4ATF51264HZ-2G3E1 - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,F7BD8B2226BE68,JTL_ARTNR_DDR4_SODIMM_4GB
HMA851S6AFR6N-UH - SODIMM DDR4 Synchronous 2400 MHz (0.4 ns)-4GB,FCD751AF358DAB,JTL_ARTNR_DDR4_SODIMM_4GB
ATA SanDisk SD8SN8U-128G-1006-SSD-sata-128GB,FCD751AF358DAB,JTL_ARTNR_M2SATA_SSD_128GB
